Date Collected,Location,Total Exuviae Count,Observer Minutes,Species Reported,# Confirmed,# Other Species Found,Collected by
7/14/2021,WildernessBeaver,14,20, x14 A. canadensis,14,0,Emily Schilling
7/21/2021,WildernessBeaver,10,40,x10 A. canadensis,10,0,Ron Lawrenz
7/21/2021,WildernessBeaver,28,40,x28 A. tuberculifera,28,0,Ron Lawrenz
7/21/2021,WildernessBeaver,1,40,x1 A. eremita,1,0,Ron Lawrenz
7/5/2021,WildernessBeaver,29,40,x29 A. canadensis,28,x1 A. tuberuclifera,Emily Schilling
8/8/21,WildernessBeaver,1,20,x1 A. eremita,1,0,Emily Schilling
6/24/21,WildernessBeaver,9,10,x9 A. canadensis,8,x1 A. tuberculifera,Emily Schilling
7/11/2021,WildernessBeaver,44,40,x44 A. tuberculifera,44,0,Emily Schilling
7/11/2021,WildernessBeaver,26,40,x26 A. canadensis,26,0,Emily Schilling
6/16/2021,WildernessBeaver,8,40,x8 A. canadensis,8,0,Emily Schilling
6/14/2021,WildernessBeaver,7,40,x8 A. canadensis,7,0,Emily Schilling
6/19/2021,WildernessBeaver,14,40,x14 A. canadensis,14,0,Emily Schilling
7/28/2021,WildernessBeaver,4,32,x3 A. canadensis x1 A. eremita,4,0,Emily Schilling