This data has been provided by the Utah Climate Center. Please cite the Climate Center when using this data.,,
Station Network,GHCN:COOP,
Station ID,USC00212881,
Station Name,FOREST LAKE 5NE,
Latitude,45.3397,
Longitude,-92.9125,
Elevation,280.4 m,
State,MN,
Country,US,
Units,Metric,
*Note: 'S' Indicates a row that has been filled in by the system as a missing day.,,
*Note: All data is displayed the same as we receive it. If there are any values that may seem wrong,,
then download the data again and select the 'Show source/quality' option to view the flags.,,
,,
,,
Day,Min Temperature,Max Temperature
1/1/2017,-8.9,-0.6
1/2/2017,-6.1,0.6
1/3/2017,-3.9,0.6
1/4/2017,-22.2,-2.8
1/5/2017,-23.9,-15.6
1/6/2017,-25.6,-16.1
1/7/2017,-25,-13.3
1/8/2017,-21.7,-11.7
1/9/2017,-20.6,-8.9
1/10/2017,-8.9,-2.8
1/11/2017,-18.3,-2.2
1/12/2017,-16.7,-11.7
1/13/2017,-27.2,-7.8
1/14/2017,-25,-13.9
1/15/2017,-18.9,-1.7
1/16/2017,-17.8,3.3
1/17/2017,-11.1,0
1/18/2017,-5,6.1
1/19/2017,-3.9,8.9
1/20/2017,-1.7,9.4
1/21/2017,0.6,3.3
1/22/2017,0.6,3.9
1/23/2017,0,4.4
1/24/2017,-1.1,2.2
1/25/2017,-2.2,1.1
1/26/2017,-3.9,0
1/27/2017,-8.3,0
1/28/2017,-7.8,2.2
1/29/2017,-6.7,-1.7
1/30/2017,-12.2,-1.1
1/31/2017,-7.2,1.7
2/1/2017,-12.8,5
2/2/2017,-17.8,-7.2
2/3/2017,-19.4,-6.1
2/4/2017,-18.3,-2.8
2/5/2017,-11.7,2.2
2/6/2017,-12.8,-3.3
2/7/2017,-11.1,1.1
2/8/2017,-20,-3.3
2/9/2017,-20.6,-11.7
2/10/2017,-20.6,-4.4
2/11/2017,-7.2,7.8
2/12/2017,-3.9,6.7
2/13/2017,-5,5.6
2/14/2017,-2.8,9.4
2/15/2017,-8.9,7.2
2/16/2017,-8.3,3.3
2/17/2017,-8.3,6.7
2/18/2017,-0.6,16.1
2/19/2017,-1.1,15.6
2/20/2017,0,16.1
2/21/2017,-0.6,11.1
2/22/2017,-0.6,15
2/23/2017,-0.6,11.1
2/24/2017,-5,3.3
2/25/2017,-11.1,-2.2
2/26/2017,-10.6,2.8
2/27/2017,-6.1,5
2/28/2017,-5.6,9.4
3/1/2017,-4.4,6.1
3/2/2017,-10,3.3
3/3/2017,-14.4,-1.1
3/4/2017,-13.3,1.7
3/5/2017,-4.4,7.2
3/6/2017,1.1,16.1
3/7/2017,-3.3,15
3/8/2017,-6.7,10
3/9/2017,-7.8,1.1
3/10/2017,-17.2,-1.7
3/11/2017,-15.6,-7.2
3/12/2017,-15,-4.4
3/13/2017,-12.2,-4.4
3/14/2017,-16.1,-1.1
3/15/2017,-15.6,0
3/16/2017,-12.8,3.9
3/17/2017,-6.7,8.9
3/18/2017,-2.8,6.1
3/19/2017,-3.3,4.4
3/20/2017,-1.7,11.1
3/21/2017,-4.4,13.9
3/22/2017,-8.3,3.3
3/23/2017,-7.8,6.7
3/24/2017,1.1,6.1
3/25/2017,1.1,7.2
3/26/2017,1.1,7.2
3/27/2017,1.1,6.1
3/28/2017,-1.1,15
3/29/2017,0,17.8
3/30/2017,1.1,12.2
3/31/2017,-1.7,11.7
4/1/2017,-0.6,15
4/2/2017,0.6,20.6
4/3/2017,6.7,11.7
4/4/2017,3.9,11.7
4/5/2017,2.2,17.8
4/6/2017,-1.7,12.8
4/7/2017,-1.7,13.9
4/8/2017,-0.6,17.8
4/9/2017,7.8,21.1
4/10/2017,5.6,20.6
4/11/2017,-1.7,8.3
4/12/2017,-0.6,11.7
4/13/2017,3.9,14.4
4/14/2017,3.9,14.4
4/15/2017,7.8,18.3
4/16/2017,6.1,22.2
4/17/2017,5,19.4
4/18/2017,5.6,15
4/19/2017,5.6,16.1
4/20/2017,3.3,12.2
4/21/2017,0,10
4/22/2017,1.1,18.3
4/23/2017,6.7,22.2
4/24/2017,5.6,17.8
4/25/2017,7.8,22.2
4/26/2017,1.1,20.6
4/27/2017,-1.7,5
4/28/2017,-1.7,2.2
4/29/2017,-0.6,11.1
4/30/2017,2.8,14.4
5/1/2017,1.1,9.4
5/2/2017,2.2,5.6
5/3/2017,3.9,17.2
5/4/2017,5.6,21.1
5/5/2017,5.6,21.7
5/6/2017,3.3,26.7
5/7/2017,5,21.1
5/8/2017,6.1,20
5/9/2017,6.1,21.7
5/10/2017,7.8,23.3
5/11/2017,6.1,21.1
5/12/2017,6.1,21.1
5/13/2017,7.8,25
5/14/2017,10.6,26.1
5/15/2017,11.7,27.2
5/16/2017,10,18.9
5/17/2017,14.4,29.4
5/18/2017,7.2,20.6
5/19/2017,5,12.2
5/20/2017,5.6,14.4
5/21/2017,5.6,11.1
5/22/2017,5.6,13.3
5/23/2017,7.2,18.3
5/24/2017,6.7,18.9
5/25/2017,7.8,16.7
5/26/2017,10,22.8
5/27/2017,10,26.7
5/28/2017,12.8,24.4
5/29/2017,10,22.8
5/30/2017,10,19.4
5/31/2017,7.8,19.4
6/1/2017,5,24.4
6/2/2017,10.6,26.7
6/3/2017,13.9,32.2
6/4/2017,13.3,31.1
6/5/2017,11.7,32.2
6/6/2017,12.2,28.9
6/7/2017,12.2,28.3
6/8/2017,14.4,31.7
6/9/2017,13.9,28.9
6/10/2017,15,29.4
6/11/2017,18.9,34.4
6/12/2017,14.4,M
6/13/2017,16.1,27.2
6/14/2017,16.7,28.9
6/15/2017,17.8,29.4
6/16/2017,17.8,30
6/17/2017,15,30.6
6/18/2017,13.9,19.4
6/19/2017,13.3,22.8
6/20/2017,13.3,23.3
6/21/2017,12.8,25.6
6/22/2017,15,27.8
6/23/2017,11.7,22.2
6/24/2017,8.9,23.3
6/25/2017,10.6,20
6/26/2017,6.7,20.6
6/27/2017,7.2,23.3
6/28/2017,13.3,25.6
6/29/2017,16.1,22.8
6/30/2017,16.1,23.3
7/1/2017,15,27.2
7/2/2017,15,25.6
7/3/2017,13.9,27.2
7/4/2017,16.7,28.3
7/5/2017,19.4,30.6
7/6/2017,18.3,32.8
7/7/2017,16.1,33.3
7/8/2017,13.9,33.3
7/9/2017,15.6,28.9
7/10/2017,17.8,27.2
7/11/2017,15.6,29.4
7/12/2017,17.2,29.4
7/13/2017,12.2,30
7/14/2017,12.2,20
7/15/2017,13.9,25.6
7/16/2017,16.7,31.7
7/17/2017,17.2,28.3
7/18/2017,18.9,33.3
7/19/2017,16.1,25.6
7/20/2017,16.7,27.2
7/21/2017,17.8,32.2
7/22/2017,18.9,29.4
7/23/2017,16.7,31.7
7/24/2017,13.9,25
7/25/2017,16.1,27.2
7/26/2017,18.9,28.3
7/27/2017,15.6,30
7/28/2017,15,29.4
7/29/2017,16.7,30
7/30/2017,16.7,31.7
7/31/2017,18.3,32.2
8/1/2017,18.3,31.7
8/2/2017,16.1,31.7
8/3/2017,13.9,27.8
8/4/2017,10,16.7
8/5/2017,12.2,26.7
8/6/2017,13.3,26.1
8/7/2017,12.2,26.1
8/8/2017,13.3,27.8
8/9/2017,14.4,28.9
8/10/2017,15.6,22.2
8/11/2017,12.8,23.3
8/12/2017,12.8,26.1
8/13/2017,13.3,27.2
8/14/2017,15,20.6
8/15/2017,12.2,24.4
8/16/2017,13.3,26.7
8/17/2017,16.7,24.4
8/18/2017,13.3,20.6
8/19/2017,14.4,23.3
8/20/2017,15.6,28.9
8/21/2017,15.6,30
8/22/2017,13.3,23.9
8/23/2017,10,25
8/24/2017,10.6,24.4
8/25/2017,10.6,25
8/26/2017,10.6,25
8/27/2017,10.6,24.4
8/28/2017,16.1,22.8
8/29/2017,11.7,23.9
8/30/2017,12.2,27.2
8/31/2017,11.1,27.8
9/1/2017,10,23.3
9/2/2017,10.6,23.3
9/3/2017,13.3,27.8
9/4/2017,13.3,31.1
9/5/2017,7.8,20
9/6/2017,6.7,20
9/7/2017,6.7,20
9/8/2017,8.3,19.4
9/9/2017,9.4,21.7
9/10/2017,10.6,24.4
9/11/2017,14.4,27.2
9/12/2017,14.4,28.9
9/13/2017,15,30.6
9/14/2017,17.2,30.6
9/15/2017,17.8,31.7
9/16/2017,18.9,28.3
9/17/2017,8.9,25
9/18/2017,9.4,21.7
9/19/2017,11.1,15.6
9/20/2017,14.4,26.7
9/21/2017,10,26.7
9/22/2017,10.6,28.9
9/23/2017,21.7,33.9
9/24/2017,20,32.8
9/25/2017,14.4,33.9
9/26/2017,12.8,16.7
9/27/2017,7.2,17.8
9/28/2017,7.8,21.1
9/29/2017,6.7,25
9/30/2017,5.6,19.4
10/1/2017,7.2,22.8
10/2/2017,11.1,17.8
10/3/2017,11.7,17.8
10/4/2017,5.6,21.7
10/5/2017,6.1,17.8
10/6/2017,8.9,16.7
10/7/2017,8.9,16.7
10/8/2017,11.1,20.6
10/9/2017,4.4,22.8
10/10/2017,0,14.4
10/11/2017,-0.6,13.9
10/12/2017,1.1,15
10/13/2017,7.8,18.3
10/14/2017,5.6,18.3
10/15/2017,3.9,18.3
10/16/2017,3.3,14.4
10/17/2017,3.9,19.4
10/18/2017,6.7,23.9
10/19/2017,5.6,23.9
10/20/2017,6.1,23.9
10/21/2017,11.7,26.1
10/22/2017,7.8,18.9
10/23/2017,8.3,20
10/24/2017,5,17.8
10/25/2017,2.8,10
10/26/2017,1.7,13.9
10/27/2017,0,15
10/28/2017,-2.8,1.7
10/29/2017,-2.2,1.7
10/30/2017,-2.2,4.4
10/31/2017,-2.2,4.4
11/1/2017,-4.4,2.2
11/2/2017,-1.7,2.8
11/3/2017,-5,5
11/4/2017,-5.6,2.2
11/5/2017,-5.6,5.6
11/6/2017,-8.3,2.8
11/7/2017,-8.3,2.8
11/8/2017,-6.1,3.9
11/9/2017,-10,5.6
11/10/2017,-13.3,-4.4
11/11/2017,-12.2,-0.6
11/12/2017,-7.2,7.8
11/13/2017,-7.2,5
11/14/2017,-7.2,6.1
11/15/2017,2.2,6.1
11/16/2017,-3.9,4.4
11/17/2017,-3.9,2.8
11/18/2017,-1.7,3.3
11/19/2017,-11.1,3.9
11/20/2017,-10,3.9
11/21/2017,-6.1,6.1
11/22/2017,-12.2,0
11/23/2017,-11.7,-1.1
11/24/2017,-6.7,8.3
11/25/2017,-1.7,15.6
11/26/2017,-5.6,5.6
11/27/2017,-1.7,10.6
11/28/2017,-1.7,13.9
11/29/2017,-5.6,12.8
11/30/2017,-5.6,8.3
12/1/2017,-2.8,11.1
12/2/2017,-3.3,8.9
12/3/2017,-2.8,11.7
12/4/2017,-2.8,11.7
12/5/2017,-8.9,12.2
12/6/2017,-11.1,-5
12/7/2017,-15,-7.8
12/8/2017,-14.4,-5
12/9/2017,-14.4,-0.6
12/10/2017,-11.1,-5
12/11/2017,-7.2,1.1
12/12/2017,-17.8,1.7
12/13/2017,-17.8,-4.4
12/14/2017,-10.6,-4.4
12/15/2017,-10.6,-5
12/16/2017,-10,-3.3
12/17/2017,-8.9,-0.6
12/18/2017,-7.8,-2.2
12/19/2017,-4.4,3.3
12/20/2017,-10,3.3
12/21/2017,-10,-7.8
12/22/2017,-10.6,-4.4
12/23/2017,-13.9,-2.8
12/24/2017,-13.9,-3.9
12/25/2017,-21.1,-4.4
12/26/2017,-31.7,-18.3
12/27/2017,-31.7,-18.9
12/28/2017,-26.7,-13.9
12/29/2017,-25.6,-11.7
12/30/2017,-29.4,-17.2
12/31/2017,-29.4,-20
1/1/2018,-28.9,-18.9
